Sample_ID,Sample_Num,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Ancestry,Gender,Age,Sentrix_ID,Sentrix_Position,!Sample_molecule_ch1,!Sample_extract_protocol_ch1,!Sample_label_ch1,!Sample_label_protocol_ch1,!Sample_taxid_ch1,!Sample_hyb_protocol,!Sample_scan_protocol,!Sample_description,!Sample_data_processing,!Sample_platform_id,!Sample_contact_name,!Sample_contact_email,!Sample_contact_department,!Sample_contact_institute,!Sample_contact_address,!Sample_contact_city,!Sample_contact_state,!Sample_contact_zip/postal_code,!Sample_contact_country,!Sample_supplementary_file,!Sample_supplementary_file,!Sample_data_row_count,CellType
MP-0,GSM3518380,Public on Oct 31 2019,Dec 17 2018,Nov 01 2019,genomic,1,liver hepatocytes,Homo sapiens,0.9341,Female,42,201530950094,R01C01,genomic DNA,DNA was extracted from each hepatocyte line using Gentra Puregene Blood kit (Qiagen) as per manufacturer’s instructions from 1-2 million cells.,Cy5 and Cy3,CT-conversion was performed using Zymo-Research EZ DNA Methylation kits.,9606,Samples were processed for array hybridization using Illumina provided array reagents.,Arrays were stained with Illumina provided reagnets and scanned using an Illumina HiSCAN.,ancestry health disparity,ChAMP v2.10.1,GPL23976,"C.,Sehwan,Park",c.s.park@northwestern.edu,Pharmacology,Northwestern University,303 East Chicago Ave Ward 9-250,Chicago,IL,60611,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518380/suppl/GSM3518380_201530950094_R01C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518380/suppl/GSM3518380_201530950094_R01C01_Red.idat.gz,249479,
MP-1,GSM3518381,Public on Oct 31 2019,Dec 17 2018,Nov 01 2019,genomic,1,liver hepatocytes,Homo sapiens,0.8814,Male,5,201530950094,R02C01,genomic DNA,DNA was extracted from each hepatocyte line using Gentra Puregene Blood kit (Qiagen) as per manufacturer’s instructions from 1-2 million cells.,Cy5 and Cy3,CT-conversion was performed using Zymo-Research EZ DNA Methylation kits.,9606,Samples were processed for array hybridization using Illumina provided array reagents.,Arrays were stained with Illumina provided reagnets and scanned using an Illumina HiSCAN.,ancestry health disparity,ChAMP v2.10.1,GPL23976,"C.,Sehwan,Park",c.s.park@northwestern.edu,Pharmacology,Northwestern University,303 East Chicago Ave Ward 9-250,Chicago,IL,60611,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518381/suppl/GSM3518381_201530950094_R02C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518381/suppl/GSM3518381_201530950094_R02C01_Red.idat.gz,249479,
MP-3,GSM3518382,Public on Oct 31 2019,Dec 17 2018,Nov 01 2019,genomic,1,liver hepatocytes,Homo sapiens,0.4738,Female,48,201530950094,R03C01,genomic DNA,DNA was extracted from each hepatocyte line using Gentra Puregene Blood kit (Qiagen) as per manufacturer’s instructions from 1-2 million cells.,Cy5 and Cy3,CT-conversion was performed using Zymo-Research EZ DNA Methylation kits.,9606,Samples were processed for array hybridization using Illumina provided array reagents.,Arrays were stained with Illumina provided reagnets and scanned using an Illumina HiSCAN.,ancestry health disparity,ChAMP v2.10.1,GPL23976,"C.,Sehwan,Park",c.s.park@northwestern.edu,Pharmacology,Northwestern University,303 East Chicago Ave Ward 9-250,Chicago,IL,60611,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518382/suppl/GSM3518382_201530950094_R03C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518382/suppl/GSM3518382_201530950094_R03C01_Red.idat.gz,249479,
MP-6,GSM3518383,Public on Oct 31 2019,Dec 17 2018,Nov 01 2019,genomic,1,liver hepatocytes,Homo sapiens,0.4907,Female,59,201530950094,R04C01,genomic DNA,DNA was extracted from each hepatocyte line using Gentra Puregene Blood kit (Qiagen) as per manufacturer’s instructions from 1-2 million cells.,Cy5 and Cy3,CT-conversion was performed using Zymo-Research EZ DNA Methylation kits.,9606,Samples were processed for array hybridization using Illumina provided array reagents.,Arrays were stained with Illumina provided reagnets and scanned using an Illumina HiSCAN.,ancestry health disparity,ChAMP v2.10.1,GPL23976,"C.,Sehwan,Park",c.s.park@northwestern.edu,Pharmacology,Northwestern University,303 East Chicago Ave Ward 9-250,Chicago,IL,60611,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518383/suppl/GSM3518383_201530950094_R04C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518383/suppl/GSM3518383_201530950094_R04C01_Red.idat.gz,249479,
MP-7,GSM3518384,Public on Oct 31 2019,Dec 17 2018,Nov 01 2019,genomic,1,liver hepatocytes,Homo sapiens,0.8564,Female,43,201530950094,R05C01,genomic DNA,DNA was extracted from each hepatocyte line using Gentra Puregene Blood kit (Qiagen) as per manufacturer’s instructions from 1-2 million cells.,Cy5 and Cy3,CT-conversion was performed using Zymo-Research EZ DNA Methylation kits.,9606,Samples were processed for array hybridization using Illumina provided array reagents.,Arrays were stained with Illumina provided reagnets and scanned using an Illumina HiSCAN.,ancestry health disparity,ChAMP v2.10.1,GPL23976,"C.,Sehwan,Park",c.s.park@northwestern.edu,Pharmacology,Northwestern University,303 East Chicago Ave Ward 9-250,Chicago,IL,60611,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518384/suppl/GSM3518384_201530950094_R05C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518384/suppl/GSM3518384_201530950094_R05C01_Red.idat.gz,249479,
MP-8,GSM3518385,Public on Oct 31 2019,Dec 17 2018,Nov 01 2019,genomic,1,liver hepatocytes,Homo sapiens,0.8381,Male,63,201530950094,R06C01,genomic DNA,DNA was extracted from each hepatocyte line using Gentra Puregene Blood kit (Qiagen) as per manufacturer’s instructions from 1-2 million cells.,Cy5 and Cy3,CT-conversion was performed using Zymo-Research EZ DNA Methylation kits.,9606,Samples were processed for array hybridization using Illumina provided array reagents.,Arrays were stained with Illumina provided reagnets and scanned using an Illumina HiSCAN.,ancestry health disparity,ChAMP v2.10.1,GPL23976,"C.,Sehwan,Park",c.s.park@northwestern.edu,Pharmacology,Northwestern University,303 East Chicago Ave Ward 9-250,Chicago,IL,60611,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518385/suppl/GSM3518385_201530950094_R06C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518385/suppl/GSM3518385_201530950094_R06C01_Red.idat.gz,249479,
MP-9,GSM3518386,Public on Oct 31 2019,Dec 17 2018,Nov 01 2019,genomic,1,liver hepatocytes,Homo sapiens,0.9274,Female,42,201530950094,R07C01,genomic DNA,DNA was extracted from each hepatocyte line using Gentra Puregene Blood kit (Qiagen) as per manufacturer’s instructions from 1-2 million cells.,Cy5 and Cy3,CT-conversion was performed using Zymo-Research EZ DNA Methylation kits.,9606,Samples were processed for array hybridization using Illumina provided array reagents.,Arrays were stained with Illumina provided reagnets and scanned using an Illumina HiSCAN.,ancestry health disparity,ChAMP v2.10.1,GPL23976,"C.,Sehwan,Park",c.s.park@northwestern.edu,Pharmacology,Northwestern University,303 East Chicago Ave Ward 9-250,Chicago,IL,60611,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518386/suppl/GSM3518386_201530950094_R07C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518386/suppl/GSM3518386_201530950094_R07C01_Red.idat.gz,249479,
MP-14,GSM3518387,Public on Oct 31 2019,Dec 17 2018,Nov 01 2019,genomic,1,liver hepatocytes,Homo sapiens,0.7922,Male,0.25,201530950094,R08C01,genomic DNA,DNA was extracted from each hepatocyte line using Gentra Puregene Blood kit (Qiagen) as per manufacturer’s instructions from 1-2 million cells.,Cy5 and Cy3,CT-conversion was performed using Zymo-Research EZ DNA Methylation kits.,9606,Samples were processed for array hybridization using Illumina provided array reagents.,Arrays were stained with Illumina provided reagnets and scanned using an Illumina HiSCAN.,ancestry health disparity,ChAMP v2.10.1,GPL23976,"C.,Sehwan,Park",c.s.park@northwestern.edu,Pharmacology,Northwestern University,303 East Chicago Ave Ward 9-250,Chicago,IL,60611,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518387/suppl/GSM3518387_201530950094_R08C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518387/suppl/GSM3518387_201530950094_R08C01_Red.idat.gz,249479,
MP-15,GSM3518388,Public on Oct 31 2019,Dec 17 2018,Nov 01 2019,genomic,1,liver hepatocytes,Homo sapiens,0.8899,Female,30,201530950096,R01C01,genomic DNA,DNA was extracted from each hepatocyte line using Gentra Puregene Blood kit (Qiagen) as per manufacturer’s instructions from 1-2 million cells.,Cy5 and Cy3,CT-conversion was performed using Zymo-Research EZ DNA Methylation kits.,9606,Samples were processed for array hybridization using Illumina provided array reagents.,Arrays were stained with Illumina provided reagnets and scanned using an Illumina HiSCAN.,ancestry health disparity,ChAMP v2.10.1,GPL23976,"C.,Sehwan,Park",c.s.park@northwestern.edu,Pharmacology,Northwestern University,303 East Chicago Ave Ward 9-250,Chicago,IL,60611,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518388/suppl/GSM3518388_201530950096_R01C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518388/suppl/GSM3518388_201530950096_R01C01_Red.idat.gz,249479,
MP-16,GSM3518389,Public on Oct 31 2019,Dec 17 2018,Nov 01 2019,genomic,1,liver hepatocytes,Homo sapiens,0.6746,Male,0.33,201530950096,R02C01,genomic DNA,DNA was extracted from each hepatocyte line using Gentra Puregene Blood kit (Qiagen) as per manufacturer’s instructions from 1-2 million cells.,Cy5 and Cy3,CT-conversion was performed using Zymo-Research EZ DNA Methylation kits.,9606,Samples were processed for array hybridization using Illumina provided array reagents.,Arrays were stained with Illumina provided reagnets and scanned using an Illumina HiSCAN.,ancestry health disparity,ChAMP v2.10.1,GPL23976,"C.,Sehwan,Park",c.s.park@northwestern.edu,Pharmacology,Northwestern University,303 East Chicago Ave Ward 9-250,Chicago,IL,60611,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518389/suppl/GSM3518389_201530950096_R02C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3518nnn/GSM3518389/suppl/GSM3518389_201530950096_R02C01_Red.idat.gz,249479,
